"","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","word","score"
"91",FALSE,0,NA,2017-11-14 20:22:45,FALSE,NA,"930531468920655875",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MontsReal",0,FALSE,FALSE,NA,NA,"like",2
"92",FALSE,0,NA,2017-11-14 20:22:44,FALSE,NA,"930531464202149888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meleyah_Kerin",19,TRUE,FALSE,NA,NA,"like",2
"93",FALSE,0,NA,2017-11-14 20:22:44,FALSE,NA,"930531464202149888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meleyah_Kerin",19,TRUE,FALSE,NA,NA,"shit",-4
"94",FALSE,0,NA,2017-11-14 20:22:44,FALSE,NA,"930531464202149888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meleyah_Kerin",19,TRUE,FALSE,NA,NA,"happy",3
"95",FALSE,0,NA,2017-11-14 20:22:30,FALSE,NA,"930531408182939648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yrubb_YT",18,TRUE,FALSE,NA,NA,"ashamed",-2
"96",FALSE,0,NA,2017-11-14 20:22:16,FALSE,NA,"930531349768888322",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wanderkth",0,FALSE,FALSE,NA,NA,"want",1
"97",FALSE,0,NA,2017-11-14 20:22:16,FALSE,NA,"930531349768888322",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wanderkth",0,FALSE,FALSE,NA,NA,"dead",-3
"98",FALSE,0,NA,2017-11-14 20:22:16,FALSE,NA,"930531349768888322",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wanderkth",0,FALSE,FALSE,NA,NA,"ass",-4
"99",FALSE,0,NA,2017-11-14 20:22:16,FALSE,NA,"930531349768888322",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wanderkth",0,FALSE,FALSE,NA,NA,"want",1
"100",FALSE,1,NA,2017-11-14 20:21:41,FALSE,NA,"930531201672101888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spook_k",0,FALSE,FALSE,NA,NA,"fair",2
